URL,ISBN,Goodreads ID,Title,"Author(s)/Illustrators/Other Contributors (Editors, Translators, Sources, etc.)",Categorization,Subject(s),Gender,Career Type/Known For
https://www.fantagraphics.com/collections/biography-memoir/products/i-rene-tardi-prisoner-of-war-in-stalag-iib-vol-1,9781683961086,36321846-i-rene-tardi-prisoner-of-war-in-stalag-iib-vol-1,"I, Rene Tardi, Prisoner Of War In Stalag 2b",Jacques Tardi,Family Biography,Rene Tardi,Male,Prisoner
https://www.humanoids.com/book/1359,9781643375632,62919031-all-tomorrow-s-parties,All Tomorrow's Parties: The Velvet Underground Story,Koren Shadmi,Collective Biography,The Velvet Underground & Andy Warhol,Mixed,"Musician, Artist"
https://www.humanoids.com/book/1387,9781643378732,101136053-the-golden-voice,The Golden Voice: The Ballad of Cambodian Rock's Lost Queen,"Gregory Cahill, Kat Baumann",Biography,Ros Serey Sothea,Female,Musician
https://www.humanoids.com/book/1389,9781643376011,123208777-through-clouds-of-smoke,Through Clouds of Smoke: Freud's Final Days,Suzanne Leclair & William Roy,Biography,Sigmund Freud,Male,Psychologist
https://www.humanoids.com/book/854,9781643377520,178019129-hedy-lamarr,The Incredible Life of Hedy Lamarr,"William Roy, Sylvain Dorange",Biography,Hedy Lamarr,Female,"Actor, Engineer"
https://www.humanoids.com/book/1348,9781643378695,61337907-the-twilight-man,The Twilight Man: Rod Serling and the Birth of Television,Koren Shadmi,Biography,Rod Serling,Male,Television Host
https://www.humanoids.com/book/1336,9781643375793,61964721-lugosi,Lugosi: The Rise and Fall of Hollywood's Dracula,Koren Shadmi,Biography,Bela Lugosi,Male,"Actor, Political Activist"
https://www.humanoids.com/book/849,9781594655357,37492226-marilyn-s-monsters,Marilyn's Monsters,Tommy Redolfi,Biography,Marilyn Monroe,Female,"Actress, Model"
https://www.humanoids.com/book/1312,9781643379845,60459331-beethoven,Beethoven: A Stand for Freedom,Régis Penet ,Biography,Ludwig van Beethoven,Male,Composer
https://www.indigo.ca/en-ca/for-justice-the-serge-beate-klarsfeld-story/9781643375243.html,9781643375243,50891560-for-justice,For Justice: The Serge & Beate Klarsfeld Story,"Pascal Bresson, Sylvain Dorange, Nanette McGuiness",Collective Biography,Serge & Beate Klarsfeld,Mixed,Nazi Hunters; Stasi Agents
https://www.humanoids.com/series/316,9781643379692,58437963-makhno,Makhno: Ukrainian Freedom Fighter,"Philippe Thirault, Roberto Zaghi, Nanette McGuiness",Biography,Nestor Makhno,Male,Revolutionary
https://www.simonandschuster.ca/books/Betrayal-of-the-Mind/Celine-Wagner/9781643375953,9781643375953,196019251-betrayal-of-the-mind,Betrayal of the Mind: The Surreal Life of Unica Zürn,Celine Wagner,Biography,Unica Zürn,Female,"Artist, Author"
https://drawnandquarterly.com/books/we-are-on-our-own/,9781770466357,60784723-we-are-on-our-own,We Are On Our Own: A Memoir,Miriam Katin,Collaborative Autobio,Miriam Katlin,Female,"Holocaust Survivor, Illustrator"
https://drawnandquarterly.com/books/adventures-of-herge/,9781770460591,10860500-the-adventures-of-herg,The Adventures of Hergé,"Jose-Louis Bocquet, Jean-Luc Fromental, Stanislas Barthémy",Biography,Georges Prosper Remi,Male,Cartoonist
https://drawnandquarterly.com/books/leonard-cohen-wire/,9781770464896,56269253-leonard-cohen,Leonard Cohen: On A Wire,"Philippe Girard, Helge Dascher, Karen Houle",Biography,Leonard Cohen,Male,Musician
https://drawnandquarterly.com/books/putins-russia-rise-dictator/,9781770465046,57693671-putin-s-russia,Putin's Russia,Darryl Cunningham,Biography,Vladimir Putin,Male,President of Russia/Autocrat
https://drawnandquarterly.com/books/louis-riel/,9781894937894,269353.Louis_Riel,Louis Riel: A Comic-Strip Biography,Chester Brown,Biography,Louis Riel,Male,Revolutionary
https://drawnandquarterly.com/books/woman-rebel/,9781770461260,17287065-woman-rebel,Woman Rebel: The Margaret Sanger Story,Peter Bagge,Biography,Margaret Sanger,Female,Women's Rights Activist
https://drawnandquarterly.com/books/year-rabbit/,9781770463769,43317483-year-of-the-rabbit,Year Of The Rabbit,"Tian Veasna, Helge Dascher",Family Biography,Tian Veasna,Mixed,Refugees
https://www.simonandschuster.ca/books/Grateful-Dead-Origins/Chris-Miskiewicz/9781940878300,9781940878300,45293279-grateful-dead-origins,Grateful Dead Origins,"Chris Miskiewicz, Noah Van Scriver",Collective Biography,Grateful Dead,Male,Musicians
https://z2comics.com/products/one-bourbon-one-scotch-one-beer-john-lee-hooker-graphic-novel?_pos=1&_sid=bc8821ecf&_ss=r,9781940878614,59113162-one-bourbon-one-scotch-one-beer,"One Bourbon, One Scotch, One Beer: Three Tales of John Lee Hooker","Gabe Soria, Jarrett Willliams, Kyle Baker, Evan Cagle, Chris Brunner",Biography,John Lee Hooker,Male,Musician
https://z2comics.com/products/blondie-against-the-odds-graphic-novel-standard-hardcover?_pos=2&_sid=fc6589650&_ss=r,9781940878768,57234142-blondie,Blondie: Against The Odds,"Jimmy Palmiotti, Amanda Connor, John McCrea",Semi-Fictional,Blondie,Mixed,Musicians
https://z2comics.com/products/sublime-5-at-the-door-hardcover?_pos=3&_sid=1e15907c7&_ss=r,9781954928046,60321267-sublime,Sublime: $5 at the Door,"Ryan Candy, Audrey Mok, Logan Faerber, Hayden Sherman, Alex Diotto, Bill Masuku, Robert Ahmad, Julianne Griepp",Collective Biography,Sublime,Male,Musicians
https://z2comics.com/products/cypress-hill-tres-equis-graphic-novel-hardcover?_pos=3&_sid=d093f1a77&_ss=r,9781940878669,57553105-cypress-hill-tres-equis,Cypress Hill: Tres Equis,"Noah Callahan-Bever, Gabriel Alvarez, Chris Robinson, Felix Ruiz, Jefte Palo, Jan Gedeon, Damion Scott, Angel Hernandez, Paris Alleyne",Collective Biography,Cypress Hill,Male,Musicians
https://z2comics.com/products/elvis-the-official-graphic-novel-standard-hardcover?_pos=14&_sid=33be84f5b&_ss=r,9781940878652,56269818-elvis,Elvis: The Official Graphic Novel,"Chris Miskiewicz, Michael Shelfer",Biography,Elvis,Male,Musician
https://z2comics.com/products/the-doors-morrison-hotel-standard-edition-softcover?_pos=2&_sid=cc827015f&_ss=r,9781940878362,54786126-morrison-hotel,Morrison Hotel,"Leah Moore, Tony Parker, John Pearson, Michael Avon Oeming, Taki Soma, Margeurite Sauvage, Sebastian Piriz, Guillermo Sanna, Colleen Doran, Ryan Kelly, Vasilis Lolos, Jill Thompson, John K. Snyder III",Collective Biography,The Doors,Male,Musicians
https://z2comics.com/products/charlie-parker-chasin-the-bird-standard-edition-hardcover?_pos=2&_sid=9da19c492&_ss=r,9781940878386,54587149-chasin-the-bird,Chasin' The Bird,Dave Chisholm,Biography,Charlie Parker,Male,Musician
