Id,Label,Frequency
memoir-non-fiction,memoir-non-fiction,2
comics-tpbs-graphic-novels,comics-tpbs-graphic-novels,2
historical-novel,historical-novel,2
young-readers-or-young-adult,young-readers-or-young-adult,2
cross-cultural,cross-cultural,2
2016-pub,2016-pub,2
books-in-the-news,books-in-the-news,2
books-that-stick-with-you,books-that-stick-with-you,2
graphic-novels-comix,graphic-novels-comix,2
literature,literature,2
culturally-relevant-classroom,culturally-relevant-classroom,2
graphic-novels-for-middle-grades,graphic-novels-for-middle-grades,2
bangor-a-to-z-project,bangor-a-to-z-project,2
2017-nonfic-noms,2017-nonfic-noms,2
mg-graphic-novels,mg-graphic-novels,2
february,february,2
rogue-book-group-choices,rogue-book-group-choices,2
african-american-writers,african-american-writers,2
loved-it,loved-it,2
segregation,segregation,2
recent-graphic-novels,recent-graphic-novels,2
adolescent-nonfiction,adolescent-nonfiction,2
grown-up-novels,grown-up-novels,2
z_2020,z_2020,2
authors_of_color,authors_of_color,2
ya-for-work,ya-for-work,2
biografie,biografie,2
non-fiction-or-memoir,non-fiction-or-memoir,2
graphic-historical,graphic-historical,2
gen-nonfic,gen-nonfic,2
banned-or-challenged-books,banned-or-challenged-books,2
physical-copy,physical-copy,2
inspiring,inspiring,2
2017-book-challenge,2017-book-challenge,2
8th-grade,8th-grade,2
history-american,history-american,2
best-reads-of-2017,best-reads-of-2017,2
currently-own,currently-own,2
physical-copy-library,physical-copy-library,2
best-book,best-book,2
cultural-content,cultural-content,2
for-fun,for-fun,2
picture-me-rolling-animated-graphic,picture-me-rolling-animated-graphic,2
ep-026,ep-026,2
knock-my-socks-off,knock-my-socks-off,2
graphic-works-comics,graphic-works-comics,2
american-studies,american-studies,2
adult-nonfic,adult-nonfic,2
graphic-novels-comics-trades,graphic-novels-comics-trades,2
children-s-nf,children-s-nf,2
insta-classic,insta-classic,2
lewis-john,lewis-john,2
bio-and-memoirs,bio-and-memoirs,2
books-that-i-ve-reviewed,books-that-i-ve-reviewed,2
racial-themes,racial-themes,2
byl-2019-read-challenge,byl-2019-read-challenge,2
d-r-i-v-e-book-club,d-r-i-v-e-book-club,2
own-paper-copy,own-paper-copy,2
reading-with-rafi-and-sam,reading-with-rafi-and-sam,2
presentation-2,presentation-2,2
csk-award,csk-award,2
we-need-diverse-books,we-need-diverse-books,2
influential-people-and-events,influential-people-and-events,2
january-2016,january-2016,2
book-a-day-nerdy-book-club,book-a-day-nerdy-book-club,2
microhistory-sweeping-social-hist,microhistory-sweeping-social-hist,2
sequential-art-comics-graphic-novel,sequential-art-comics-graphic-novel,2
comics-other,comics-other,2
300-social-science,300-social-science,2
900-history-geography,900-history-geography,2
books-2017,books-2017,2
poc-antiracism,poc-antiracism,2
series-books,series-books,2
8,8,2
2016-booklist,2016-booklist,2
grown-up-book,grown-up-book,2
2013-2014-books-read,2013-2014-books-read,2
character-ed,character-ed,2
children-s-informational,children-s-informational,2
reality-rocks,reality-rocks,2
grade-8-semester-1,grade-8-semester-1,2
lm-lib-loan,lm-lib-loan,2
r-2015,r-2015,2
ya-novels,ya-novels,2
exwishlist,exwishlist,2
fiction-ya,fiction-ya,2
books-read-in-2014,books-read-in-2014,2
cq,cq,2
african-american-black,african-american-black,2
reflection-pool,reflection-pool,2
the-south,the-south,2
finished-in-2016,finished-in-2016,2
biography-memoir-autobio,biography-memoir-autobio,2
of-substance,of-substance,2
amale,amale,2
hist-soci-cultstud,hist-soci-cultstud,2
2017-reading-list,2017-reading-list,2
anarchy,anarchy,2
comix-and-manga,comix-and-manga,2
creative-endeavours,creative-endeavours,2
england,england,2
2014-book-challenge,2014-book-challenge,2
dark-horse,dark-horse,2
aa-englandlit,aa-englandlit,2
aa-europelit,aa-europelit,2
aaa-favoritegraphic,aaa-favoritegraphic,2
graphic-novel-biography,graphic-novel-biography,2
foreign-translated,foreign-translated,2
21st-century-fiction,21st-century-fiction,2
liked-it,liked-it,2
animal-stories,animal-stories,2
1800s,1800s,2
and-you-thought-you-had-it-bad,and-you-thought-you-had-it-bad,2
true-story,true-story,2
united-states,united-states,2
curiosity,curiosity,2
childrens-nonfiction,childrens-nonfiction,2
graphic-novel-top-shelf,graphic-novel-top-shelf,2
in-czech,in-czech,2
illustrated-graphic,illustrated-graphic,2
canadian-literature,canadian-literature,2
grownup,grownup,2
local-library,local-library,2
2020-shelved,2020-shelved,2
bingo-2020,bingo-2020,2
biog-memoir,biog-memoir,2
graphical-novel,graphical-novel,2
brighton,brighton,2
popsugar-2023,popsugar-2023,2
2023-challenge,2023-challenge,2
2023-aty,2023-aty,2
classic,classic,2
comics-manga-graphic-novel,comics-manga-graphic-novel,2
2021-challenge,2021-challenge,2
kids-ya,kids-ya,2
não-ficção,não-ficção,2
library-borrows,library-borrows,2
2016-books-read,2016-books-read,2
books-i-want-to-own,books-i-want-to-own,2
ggn16,ggn16,2
read-in-dutch,read-in-dutch,2
mt-bookpile-2016-2020,mt-bookpile-2016-2020,2
drawn-quarterly,drawn-quarterly,2
graphic-narrative,graphic-narrative,2
x2016-read,x2016-read,2
personal-accounts,personal-accounts,2
race-ethnicity,race-ethnicity,2
2017-book-challenge-150-books,2017-book-challenge-150-books,2
african-am-lit,african-am-lit,2
books-about-or-by-bipocs,books-about-or-by-bipocs,2
bio-award-winners,bio-award-winners,2
murder-and-attempted-murder,murder-and-attempted-murder,2
reviewed-by-mandy-w,reviewed-by-mandy-w,2
completed-in-2018,completed-in-2018,2
race-and-equity,race-and-equity,2
collections,collections,2
2020-book-riot-read-harder-chlg,2020-book-riot-read-harder-chlg,2
2020-graphic-novels,2020-graphic-novels,2
y-2017,y-2017,2
read_previous_volume,read_previous_volume,2
graphic-novel-favs,graphic-novel-favs,2
books-i-would-own,books-i-would-own,2
top-tier-graphic-novels,top-tier-graphic-novels,2
for-real,for-real,2
favorite-books-of-2017,favorite-books-of-2017,2
issues,issues,2
african-american-reads,african-american-reads,2
america-is-terrible,america-is-terrible,2
for-the-sake-of-learning,for-the-sake-of-learning,2
graphic-novels-comics-illustrator,graphic-novels-comics-illustrator,2
adult-award-winners,adult-award-winners,2
2017-popsugar-reading-challenge,2017-popsugar-reading-challenge,2
fighting-racisim,fighting-racisim,2
z-2020-2021-school-year,z-2020-2021-school-year,2
taught-in-class,taught-in-class,2
2017-list,2017-list,2
feminist-book-club,feminist-book-club,2
memoir-person,memoir-person,2
true-life-graphic-novel,true-life-graphic-novel,2
bookriot-read-harder-2018,bookriot-read-harder-2018,2
gritty,gritty,2
poverty,poverty,2
2020-favs,2020-favs,2
20th-cent,20th-cent,2
voices-of-colour,voices-of-colour,2
author-own-voices,author-own-voices,2
bc-library,bc-library,2
graphic-novels-comic-books-manga,graphic-novels-comic-books-manga,2
2021-facebook-challenge,2021-facebook-challenge,2
every-damn-day,every-damn-day,2
the-youths,the-youths,2
diverse-culture,diverse-culture,2
for-all-ages,for-all-ages,2
trc-2017,trc-2017,2
memoir-and-autobiography,memoir-and-autobiography,2
social-justice-and-activism,social-justice-and-activism,2
history-african-american,history-african-american,2
books-in-2016,books-in-2016,2
gvk-podcast,gvk-podcast,2
beatthebacklist-2018,beatthebacklist-2018,2
diversity-bipoc,diversity-bipoc,2
graphic-novel-or-elements,graphic-novel-or-elements,2
bio-autobio-autobio-novel,bio-autobio-autobio-novel,2
collection-non-fiction,collection-non-fiction,2
graphic-sequential,graphic-sequential,2
multicultural-international,multicultural-international,2
nf-childrens-or-ya,nf-childrens-or-ya,2
children-s-chapter-books,children-s-chapter-books,2
childrens-or-youngadult,childrens-or-youngadult,2
cbr8,cbr8,2
books-my-kids-will-read-when-older,books-my-kids-will-read-when-older,2
civil-rights-and-social-justice,civil-rights-and-social-justice,2
lis-multicultural-lit,lis-multicultural-lit,2
i-dont-read-nonfic-but-i-read-these,i-dont-read-nonfic-but-i-read-these,2
series-i-read-the-whole-damn-thing,series-i-read-the-whole-damn-thing,2
famous-figures,famous-figures,2
2021-graphic,2021-graphic,2
atypical,atypical,2
newbery-and-printz-series,newbery-and-printz-series,2
lib529,lib529,2
juvenile-young-adult,juvenile-young-adult,2
a2-middle-grade-teen,a2-middle-grade-teen,2
a3-teen-young-adult,a3-teen-young-adult,2
a4-new-adult-college,a4-new-adult-college,2
historical-facts,historical-facts,2
autobio-and-memoir,autobio-and-memoir,2
comics-and-illustrated,comics-and-illustrated,2
brown-like-me,brown-like-me,2
comics-comix,comics-comix,2
music-pop-culture,music-pop-culture,2
italian,italian,2
books-loved-2016,books-loved-2016,2
graphic-manga-novels,graphic-manga-novels,2
2016-release,2016-release,2
movie-better-than-book,movie-better-than-book,2
comics-graphic-novels-memoir,comics-graphic-novels-memoir,2
informational-texts,informational-texts,2
antifa,antifa,2
2024-tbr,2024-tbr,2
printz-award,printz-award,2
blm-aa-race-relations,blm-aa-race-relations,2
pc,pc,2
bullies,bullies,2
graphic-literature,graphic-literature,2
national-book-award,national-book-award,2
historic,historic,2
history-related,history-related,2
own-voices,own-voices,2
read2017,read2017,2
resistance,resistance,2
comics_graphic-novel,comics_graphic-novel,2
e-comic,e-comic,2
intense-themes,intense-themes,2
dcpl-reads,dcpl-reads,2
libs-642,libs-642,2
library-borrowed,library-borrowed,2
read-2014,read-2014,2
at-the-library,at-the-library,2
popsugar-reading-challenge,popsugar-reading-challenge,2
to-review,to-review,2
bolsheviks,bolsheviks,2
published-in-2021,published-in-2021,2
published-in-2018,published-in-2018,2
graphic-novels-and-comix,graphic-novels-and-comix,2
fantasy-scifi,fantasy-scifi,2
cause-this-is-thriller,cause-this-is-thriller,2
helter-skelter,helter-skelter,2
books-read-in-2022,books-read-in-2022,2
2023-new-to-me-challenge,2023-new-to-me-challenge,2
non-ficton,non-ficton,2
graphic-novel-manga-comics,graphic-novel-manga-comics,2
alternative-comics,alternative-comics,2
february-2023,february-2023,2
graphic-novels-finished,graphic-novels-finished,2
on-shelf,on-shelf,2
memoirs-and-biography,memoirs-and-biography,2
historical_fiction,historical_fiction,2
a-graphic-novel,a-graphic-novel,2
cnf,cnf,2
2017-comics-indie,2017-comics-indie,2
read-for-class,read-for-class,2
can-lit,can-lit,2
read-graphic,read-graphic,2
tradepaperbacks,tradepaperbacks,2
2020s,2020s,2
x2017-18-season,x2017-18-season,2
beta-review,beta-review,2
for-review,for-review,2
books-for-baddies,books-for-baddies,2
library-non-audio,library-non-audio,2
brontes,brontes,2
awards-2020npr,awards-2020npr,2
bookish,bookish,2
brothers,brothers,2
celebrities,celebrities,2
read-have,read-have,2
2019-release,2019-release,2
goodreads-giveaway,goodreads-giveaway,2
history-global,history-global,2
slavery,slavery,2
z2021-reads,z2021-reads,2
downloads,downloads,2
egalley,egalley,2
on-my-shelf,on-my-shelf,2
youre-a-graphic-novel,youre-a-graphic-novel,2
art_life,art_life,2
non-fiction-general,non-fiction-general,2
scanned-books,scanned-books,2
5415-graphic-novels,5415-graphic-novels,2
y-a,y-a,2
library-borrow,library-borrow,2
genocide,genocide,2
2022-comics,2022-comics,2
bd-roman-graphique,bd-roman-graphique,2
romance,romance,2
gn-c,gn-c,2
52-books-in-52-weeks,52-books-in-52-weeks,2
in-french,in-french,2
not-fiction,not-fiction,2
type-d-q,type-d-q,2
asian-authors,asian-authors,2
arts,arts,2
2012-read,2012-read,2
3-star,3-star,2
goodreads-giveaways-won,goodreads-giveaways-won,2
ya-read,ya-read,2
leonard-cohen,leonard-cohen,2
1000-in-my-thirties,1000-in-my-thirties,2
recommendation,recommendation,2
at-f-m-library,at-f-m-library,2
biography_memoir,biography_memoir,2
science-fiction,science-fiction,2
biographies-autobiographies-and-mem,biographies-autobiographies-and-mem,2
netgalley-review,netgalley-review,2
sci-fi,sci-fi,2
fighting,fighting,2
glbt,glbt,2
beat-generation,beat-generation,2
by-black-authors,by-black-authors,2
famous-people,famous-people,2
anne,anne,2
reading-350,reading-350,2
2023-release,2023-release,1
childrens-or-ya,childrens-or-ya,1
female,female,1
bandes-dessinees,bandes-dessinees,1
çizgi-roman-manga-vb,çizgi-roman-manga-vb,1
x-read-2022,x-read-2022,1
aty-2022,aty-2022,1
prerelease,prerelease,1
poletni-bingo-2022,poletni-bingo-2022,1
beautiful-disaster,beautiful-disaster,1
could-be-better,could-be-better,1
genre-graphic,genre-graphic,1
pages-up-to-200,pages-up-to-200,1
booktopians,booktopians,1
tla_tl_2020,tla_tl_2020,1
2019-challenge-books,2019-challenge-books,1
19july,19july,1
long-distance-book-club,long-distance-book-club,1
diverse-but-not-about-diversity,diverse-but-not-about-diversity,1
disability,disability,1
ebook-other,ebook-other,1
compassion,compassion,1
no-limits,no-limits,1
z-2019-m-w,z-2019-m-w,1
cosmology,cosmology,1
jaxson,jaxson,1
2019-copyright,2019-copyright,1
grade-8-semester-2,grade-8-semester-2,1
translated-titles,translated-titles,1
history-and-exploration,history-and-exploration,1
graphic-genre,graphic-genre,1
japanese,japanese,1
didn-t-finish,didn-t-finish,1
interracial,interracial,1
japanese-american,japanese-american,1
holocaust-wwii,holocaust-wwii,1
books-bought,books-bought,1
around-the-world-in-52-books-readin,around-the-world-in-52-books-readin,1
various-non-fiction,various-non-fiction,1
comics_graphic-novels,comics_graphic-novels,1
tintin,tintin,1
graphic_novels-comics,graphic_novels-comics,1
bibliotheque,bibliotheque,1
europe-belgium,europe-belgium,1
summer-2014,summer-2014,1
challenged,challenged,1
england-uk-ireland,england-uk-ireland,1
irish,irish,1
gay-non-fiction,gay-non-fiction,1
bootiful-colors,bootiful-colors,1
nonfiction-kidlit,nonfiction-kidlit,1
nonfiction-pb-bios,nonfiction-pb-bios,1
read-library-books,read-library-books,1
baltic-history,baltic-history,1
x2022,x2022,1
editura-frontiera,editura-frontiera,1
lithuanian-author,lithuanian-author,1
teaching-up-elem-mid-sec-diversity,teaching-up-elem-mid-sec-diversity,1
cismi,cismi,1
bjvž-2020,bjvž-2020,1
patīk,patīk,1
marriott,marriott,1
2021-full-length,2021-full-length,1
wwii-nonfiction,wwii-nonfiction,1
adult-nonfiction-biography,adult-nonfiction-biography,1
adult-nonfiction-graphic-novel,adult-nonfiction-graphic-novel,1
french-history,french-history,1
via-france,via-france,1
marie-antoinette-and-family-fiction,marie-antoinette-and-family-fiction,1
are-the-straights-ok,are-the-straights-ok,1
book-clubs-reading-challenges,book-clubs-reading-challenges,1
gothish,gothish,1
ghost,ghost,1
magic-fantastic,magic-fantastic,1
1700s,1700s,1
historical-comics,historical-comics,1
1780s,1780s,1
1790s,1790s,1
amazing-writing,amazing-writing,1
beautiful-art,beautiful-art,1
better-than-i-expected,better-than-i-expected,1
ghosts,ghosts,1
gn-mystery,gn-mystery,1
this-is-america,this-is-america,1
origin-american,origin-american,1
topic-history,topic-history,1
topic-oppenheimer-universe,topic-oppenheimer-universe,1
all-time-favorite-non-fiction,all-time-favorite-non-fiction,1
byt-1900-1945,byt-1900-1945,1
20th-century-history,20th-century-history,1
2014-rc,2014-rc,1
boxy-comics-graphic-novels,boxy-comics-graphic-novels,1
dying-dead-death,dying-dead-death,1
gn-non-fict,gn-non-fict,1
adolescent-lit-4250-dr-smith,adolescent-lit-4250-dr-smith,1
science-history-atomic,science-history-atomic,1
graphic-novel-style,graphic-novel-style,1
4250-required-readings,4250-required-readings,1
ya-class-reading-assingments,ya-class-reading-assingments,1
uvu-ya-lit-class,uvu-ya-lit-class,1
t-graphic-novel,t-graphic-novel,1
t-historical,t-historical,1
t-non-fiction,t-non-fiction,1
2023-2024-school-year,2023-2024-school-year,1
byl6,byl6,1
buy-in-print,buy-in-print,1
nuclear,nuclear,1
grade-7-shelf,grade-7-shelf,1
good-non-fiction,good-non-fiction,1
year-2022,year-2022,1
year-2022-popsugar-challenge,year-2022-popsugar-challenge,1
ghs-nonfiction-faves-by-americans,ghs-nonfiction-faves-by-americans,1
smith-ya-books,smith-ya-books,1
nuclear-weapons,nuclear-weapons,1
blinded-me-with-science,blinded-me-with-science,1
g-n-i-read,g-n-i-read,1
science-nature-etc,science-nature-etc,1
military-war-terrorism,military-war-terrorism,1
november-2014,november-2014,1
2016-popsugar-reading-challenge,2016-popsugar-reading-challenge,1
z_2013-hub-reading-challenge,z_2013-hub-reading-challenge,1
nonfiction-ya-kiddos,nonfiction-ya-kiddos,1
z_14,z_14,1
my-library-paperback,my-library-paperback,1
atomic,atomic,1
non-pclc,non-pclc,1
shelve-it,shelve-it,1
military-history-aviation-history,military-history-aviation-history,1
non-fiction-miscellaneous,non-fiction-miscellaneous,1
factual,factual,1
larl,larl,1
class,class,1
oppenheimer,oppenheimer,1
2012-holiday-shopping,2012-holiday-shopping,1
yalsa-best-of-the-best-2013,yalsa-best-of-the-best-2013,1
military,military,1
children-or-ya,children-or-ya,1
genre-american-history,genre-american-history,1
skimmed,skimmed,1
abandoned-or-on-hiatus,abandoned-or-on-hiatus,1
jmrl,jmrl,1
math-and-science,math-and-science,1
books-for-my-classroom,books-for-my-classroom,1
americanhistory,americanhistory,1
4-and-a-half-to-5-stars,4-and-a-half-to-5-stars,1
2015nfc,2015nfc,1
memoir-bio-true,memoir-bio-true,1
middle-grade-reads,middle-grade-reads,1
history-ww2,history-ww2,1
i-own-this,i-own-this,1
politics-and-political-history,politics-and-political-history,1
film-history,film-history,1
reference-books,reference-books,1
horror-vampires,horror-vampires,1
possible-staff-picks,possible-staff-picks,1
grapic-novels-comics,grapic-novels-comics,1
geo-austria,geo-austria,1
december-2022,december-2022,1
vampires,vampires,1
comicbook,comicbook,1
digital_comic,digital_comic,1
graphic-novel-2021,graphic-novel-2021,1
bio-or-autobiographical,bio-or-autobiographical,1
first-read-in-2020,first-read-in-2020,1
artsy-graphic-esque,artsy-graphic-esque,1
small-pressy,small-pressy,1
legion-of-vermin,legion-of-vermin,1
music-bio,music-bio,1
disappointed,disappointed,1
2016-comics,2016-comics,1
2dr,2dr,1
deity,deity,1
cult-classic,cult-classic,1
dont-intend-to-finish,dont-intend-to-finish,1
small-press,small-press,1
the-weird,the-weird,1
indie-lit,indie-lit,1
best-books-2016,best-books-2016,1
socialism,socialism,1
class-warfare,class-warfare,1
history-modern,history-modern,1
completed-2019,completed-2019,1
labor,labor,1
labor-history,labor-history,1
graphic-nouvelle,graphic-nouvelle,1
fiction-yng-adult,fiction-yng-adult,1
artemisia-gentileschi,artemisia-gentileschi,1
diverse-womens-history-month,diverse-womens-history-month,1
format-manga-and-graphic-novels,format-manga-and-graphic-novels,1
genre-history-and-art,genre-history-and-art,1
dotsbooklist2023,dotsbooklist2023,1
non-manga-graphic-novels,non-manga-graphic-novels,1
arts-music-performance-food,arts-music-performance-food,1
graphic-fiction-and-nonfiction,graphic-fiction-and-nonfiction,1
geo-political,geo-political,1
bitch-power,bitch-power,1
family-drama,family-drama,1
2021popsugar,2021popsugar,1
unfinished,unfinished,1
fem,fem,1
books-for-school,books-for-school,1
2020-comics,2020-comics,1
art-and-illustration,art-and-illustration,1
comic-culture,comic-culture,1
comic-industry,comic-industry,1
booksonbooks,booksonbooks,1
author-s,author-s,1
backlist-2023,backlist-2023,1
2022-completed-comics,2022-completed-comics,1
2022-january,2022-january,1
comics-reference,comics-reference,1
comic-book-art,comic-book-art,1
jack-kirby,jack-kirby,1
borrowed-but-would-buy,borrowed-but-would-buy,1
library-checkout,library-checkout,1
josh-recs-and-gifts,josh-recs-and-gifts,1
junior-nonfiction,junior-nonfiction,1
sci-fi-fantasy,sci-fi-fantasy,1
books-twice-read,books-twice-read,1
books-about-rpgs,books-about-rpgs,1
in-my-library,in-my-library,1
2018-challenge-books,2018-challenge-books,1
memoirs-biography-autobios,memoirs-biography-autobios,1
library-journal,library-journal,1
wisconsin,wisconsin,1
2020-around-the-year-in-52-books,2020-around-the-year-in-52-books,1
entertainers,entertainers,1
arts-and-music,arts-and-music,1
non-fiction-fun-stuff,non-fiction-fun-stuff,1
geeky,geeky,1
book-club-read,book-club-read,1
memoir-nonfiction,memoir-nonfiction,1
dnd,dnd,1
geek,geek,1
appendix-n,appendix-n,1
entertainment-industry,entertainment-industry,1
dungeons-and-dragons-5e,dungeons-and-dragons-5e,1
midwest-america,midwest-america,1
read2018,read2018,1
culture-history-and-biography,culture-history-and-biography,1
graphic-storytelling,graphic-storytelling,1
dnd-stuff,dnd-stuff,1
rc2018,rc2018,1
best-of-2024,best-of-2024,1
books-about-boys,books-about-boys,1
fast-reads,fast-reads,1
sl-county-library-challeng,sl-county-library-challeng,1
my-comics-bd,my-comics-bd,1
nerdy-guides-encyclopedias,nerdy-guides-encyclopedias,1
borrowed-physical,borrowed-physical,1
monthly-award,monthly-award,1
graphically-awesome,graphically-awesome,1
dcc-rpg-dnd-appendix-n,dcc-rpg-dnd-appendix-n,1
graphic-novel-and-manga,graphic-novel-and-manga,1
reference-and-development,reference-and-development,1
graphic-novel-bingo,graphic-novel-bingo,1
first-read-in-2024,first-read-in-2024,1
mental-illness-graphi-novel,mental-illness-graphi-novel,1
_france,_france,1
signed-copy,signed-copy,1
art-design-web,art-design-web,1
1-history,1-history,1
2-comics-poetry-etc,2-comics-poetry-etc,1
2-non-fiction,2-non-fiction,1
6-read-2013,6-read-2013,1
french-fiction,french-fiction,1
art-design,art-design,1
addiction-and-recovery,addiction-and-recovery,1
ancestors,ancestors,1
banned,banned,1
hfc-reading-challenge-2016,hfc-reading-challenge-2016,1
art-stories,art-stories,1
finished-in-2017,finished-in-2017,1
read-2018-non-fiction,read-2018-non-fiction,1
good-cover,good-cover,1
french-fun,french-fun,1
genre-bending,genre-bending,1
general-nonfiction,general-nonfiction,1
pictures-and-images,pictures-and-images,1
graphic-novels-art,graphic-novels-art,1
signed,signed,1
arianne,arianne,1
22comics-graphicnovels-manga,22comics-graphicnovels-manga,1
comics-graphicnovels-manga,comics-graphicnovels-manga,1
netgalley-2022,netgalley-2022,1
death-and-dying,death-and-dying,1
guantanamo,guantanamo,1
year-2019,year-2019,1
2021-reading,2021-reading,1
woodford,woodford,1
terrorism,terrorism,1
torture,torture,1
clb-reviews,clb-reviews,1
adv-copies,adv-copies,1
stem,stem,1
biography-memoir-reviews,biography-memoir-reviews,1
bks-read-in-2023,bks-read-in-2023,1
humour,humour,1
bewilderment,bewilderment,1
comics-graphic-novels-non-fiction,comics-graphic-novels-non-fiction,1
netgalley-prereads,netgalley-prereads,1
liburrrrrry-book,liburrrrrry-book,1
pitcherbooks,pitcherbooks,1
addiction-obsession,addiction-obsession,1
journo,journo,1
creepy-relationships,creepy-relationships,1
2021-comics,2021-comics,1
disability-mh-nd,disability-mh-nd,1
bad,bad,1
books-turned-into-movies,books-turned-into-movies,1
4-star-5-star,4-star-5-star,1
favourites-non-fiction,favourites-non-fiction,1
books-i-smother-with-love-actual-f,books-i-smother-with-love-actual-f,1
october-2015,october-2015,1
reread,reread,1
about-madness,about-madness,1
about-meaninglessness,about-meaninglessness,1
about-violence,about-violence,1
killer-books,killer-books,1
i-have-re-read,i-have-re-read,1
crazy-sumbitches,crazy-sumbitches,1
comics-novelas-graficas-manga,comics-novelas-graficas-manga,1
no-ficcion,no-ficcion,1
pop-sugar-reading-challenge-2018,pop-sugar-reading-challenge-2018,1
5-star-novels,5-star-novels,1
morally-ambiguous,morally-ambiguous,1
arc-guaranteed-review-2022,arc-guaranteed-review-2022,1
memoir-diary-journal,memoir-diary-journal,1
best-reviews,best-reviews,1
suburban-hell,suburban-hell,1
lifelines,lifelines,1
october-country,october-country,1
audio-tbd,audio-tbd,1
shelf-2019,shelf-2019,1
bechdel-nay,bechdel-nay,1
2023-best-books,2023-best-books,1
good-but-never-again,good-but-never-again,1
movie-second,movie-second,1
_my-shelf,_my-shelf,1
2019-screamathon,2019-screamathon,1
reading-group,reading-group,1
year-2018,year-2018,1
changed-me,changed-me,1
edgy,edgy,1
overdrive-app,overdrive-app,1
biography-memoir-essay,biography-memoir-essay,1
rec-book-riot,rec-book-riot,1
lawrence-ks-recommended,lawrence-ks-recommended,1
also-a-movie-or-show,also-a-movie-or-show,1
group-read,group-read,1
creepy-weirdo-stuff,creepy-weirdo-stuff,1
do-you-want-to-see-some-real-speed,do-you-want-to-see-some-real-speed,1
aaaaagh,aaaaagh,1
dear-god,dear-god,1
god-the-gore,god-the-gore,1
a1-books,a1-books,1
buy-signed,buy-signed,1
print-own,print-own,1
favorites-graphic-novel,favorites-graphic-novel,1
1nonfiction,1nonfiction,1
2019-to-read,2019-to-read,1
nonfiction-crime,nonfiction-crime,1
book-riot-unusual-suspects-newslett,book-riot-unusual-suspects-newslett,1
dancing-between-3-and-4-stars,dancing-between-3-and-4-stars,1
books-to-film,books-to-film,1
kid-young-adult,kid-young-adult,1
200-to-300,200-to-300,1
goodreads-author,goodreads-author,1
2016-novel-length-reads,2016-novel-length-reads,1
cartoons,cartoons,1
all-books-i-physically-own,all-books-i-physically-own,1
ill,ill,1
biofic,biofic,1
creepy-af,creepy-af,1
g-mangas-comics-graphnovels,g-mangas-comics-graphnovels,1
g-true-crime,g-true-crime,1
2020-popsugar,2020-popsugar,1
bio-memoir-nonfiction,bio-memoir-nonfiction,1
graphic-novels-illustrated-art,graphic-novels-illustrated-art,1
nonfictions,nonfictions,1
bande-dessinée-graphic-novels,bande-dessinée-graphic-novels,1
testimonial,testimonial,1
fact,fact,1
feel-bad,feel-bad,1
ya-lit-finished,ya-lit-finished,1
brain-herpes,brain-herpes,1
comics-rot-your-brains,comics-rot-your-brains,1
readharder2018,readharder2018,1
generations,generations,1
true-crime-and-forensics,true-crime-and-forensics,1
true-story-bro,true-story-bro,1
not-manga,not-manga,1
comics-narrative,comics-narrative,1
dissapointing,dissapointing,1
creepy-history,creepy-history,1
comics-graphic-nvs,comics-graphic-nvs,1
comic-ish,comic-ish,1
comicsmangagraphicnovel,comicsmangagraphicnovel,1
educ-401-ya-lit,educ-401-ya-lit,1
wish-wish-wish-list,wish-wish-wish-list,1
comics-read,comics-read,1
health-mental-health,health-mental-health,1
2018-read-harder-challenge-potenti,2018-read-harder-challenge-potenti,1
comics-and-art,comics-and-art,1
amazing-authors,amazing-authors,1
american-af,american-af,1
best-friends,best-friends,1
history-and-facts,history-and-facts,1
alan12,alan12,1
2022-3-reading-challenge,2022-3-reading-challenge,1
abusive-relationships,abusive-relationships,1
read-to-see-what-the-fuss-was-about,read-to-see-what-the-fuss-was-about,1
2012-book-challenge-160-books,2012-book-challenge-160-books,1
ohio,ohio,1
the-book-list-2017,the-book-list-2017,1
comics-but-bigger,comics-but-bigger,1
memoir-and-essay,memoir-and-essay,1
social-sciences,social-sciences,1
format-comix,format-comix,1
adapted-to-screen,adapted-to-screen,1
bios-of-dead-people,bios-of-dead-people,1
2018-comics-indie,2018-comics-indie,1
booklist-2012,booklist-2012,1
in-my-possession,in-my-possession,1
les-memoires,les-memoires,1
face-palm-moments,face-palm-moments,1
lauren,lauren,1
psychologically-twisty,psychologically-twisty,1
read-in-16,read-in-16,1
horror-serial-killers,horror-serial-killers,1
j-graphic-novels,j-graphic-novels,1
comic-art,comic-art,1
autobio-memoir-diary,autobio-memoir-diary,1
scary-monsters,scary-monsters,1
16-18,16-18,1
graphic-book-group,graphic-book-group,1
criminal-minds,criminal-minds,1
oddities-and-peculiarities,oddities-and-peculiarities,1
some-of-the-books-i-own,some-of-the-books-i-own,1
21stc,21stc,1
reallyyyy-good,reallyyyy-good,1
much-loved-bios,much-loved-bios,1
minerva,minerva,1
cannibal-holocaust,cannibal-holocaust,1
dahmer-loves-zombies,dahmer-loves-zombies,1
january-2015-tbr,january-2015-tbr,1
yet-again,yet-again,1
other-nonfiction,other-nonfiction,1
finished-2019,finished-2019,1
read-graphic-novel-comics,read-graphic-novel-comics,1
read-in-2021-might-not-have-started,read-in-2021-might-not-have-started,1
2017-read-shelf,2017-read-shelf,1
all-reviewed-runs,all-reviewed-runs,1
dark-n-gritty,dark-n-gritty,1
