Id,Label,Frequency
borrowed-books,borrowed-books,5
graphic-comics,graphic-comics,5
4-star-books,4-star-books,5
gn-memoir,gn-memoir,5
first-second,first-second,5
2017-books,2017-books,5
2018-challenge,2018-challenge,5
arc-netgalley,arc-netgalley,5
e-books,e-books,5
comic-or-graphic-novel,comic-or-graphic-novel,5
around-the-world,around-the-world,5
hollywood,hollywood,5
in-translation,in-translation,5
government,government,5
true-stories,true-stories,5
biographies-other-non-fictions,biographies-other-non-fictions,5
physical-book,physical-book,5
comics-or-graphic-novels,comics-or-graphic-novels,5
fantagraphics,fantagraphics,5
graphic-novels-sequential-art,graphic-novels-sequential-art,5
graphic-novel-historical-or-nf,graphic-novel-historical-or-nf,5
comics-and-cartoons,comics-and-cartoons,5
philosophy,philosophy,5
diaspora,diaspora,5
non-fiction-biography,non-fiction-biography,5
civil-rights-era,civil-rights-era,5
act-library,act-library,5
book-club-books,book-club-books,5
kids,kids,5
african-american-studies,african-american-studies,5
4-star,4-star,5
bio-autobio,bio-autobio,5
2016-books,2016-books,5
autobio-bio-memoir,autobio-bio-memoir,5
autobio,autobio,5
childrens,childrens,5
youth,youth,5
want-to-own,want-to-own,5
graphic-novel-nonfiction,graphic-novel-nonfiction,5
ya-non-fiction,ya-non-fiction,5
black-history-month,black-history-month,5
read-2015,read-2015,5
antiracist,antiracist,5
five-star,five-star,5
fiction-historical,fiction-historical,5
read-2023,read-2023,5
drawn-and-quarterly,drawn-and-quarterly,5
history-biography-essay-stuff,history-biography-essay-stuff,5
comics-graphicnovels,comics-graphicnovels,5
historic-fiction,historic-fiction,5
espionage,espionage,5
canlit,canlit,5
female-author,female-author,5
sports,sports,5
graphic-novels-trades,graphic-novels-trades,4
beautiful,beautiful,4
2020-reading-list,2020-reading-list,4
memoir-biography-autobio,memoir-biography-autobio,4
adaptations,adaptations,4
bleak,bleak,4
foreign,foreign,4
japan,japan,4
asian,asian,4
narrative-non-fiction,narrative-non-fiction,4
1940s,1940s,4
translated-to-english,translated-to-english,4
2022-reading-challenges,2022-reading-challenges,4
writers,writers,4
indie,indie,4
age-adult-books,age-adult-books,4
ggn17,ggn17,4
photography,photography,4
graphicnovels-comics-manga,graphicnovels-comics-manga,4
world-war-ii,world-war-ii,4
comics-read-in-2020s,comics-read-in-2020s,4
world-war-2,world-war-2,4
english-4250,english-4250,4
ya-class-reading-assignment,ya-class-reading-assignment,4
popular-science,popular-science,4
art-and-photography,art-and-photography,4
adult-non-fic,adult-non-fic,4
graphic-novel-youth,graphic-novel-youth,4
english-11,english-11,4
adult-recreational,adult-recreational,4
gettin-graphic,gettin-graphic,4
graphic-novel-adult,graphic-novel-adult,4
all-comics,all-comics,4
not-exactly-comics,not-exactly-comics,4
fumetti,fumetti,4
comics-strips,comics-strips,4
anthology,anthology,4
american-authors,american-authors,4
graphic-narrative-manga,graphic-narrative-manga,4
artists,artists,4
graphic-lit-and-hist,graphic-lit-and-hist,4
business,business,4
